         E      Sigma
2.088010e+000 2.481860e+016
2.098000e+000 2.485310e+016
2.107990e+000 2.488767e+016
2.117980e+000 2.492232e+016
2.127970e+000 2.495703e+016
2.137960e+000 2.499181e+016
2.147950e+000 2.502666e+016
2.157940e+000 2.506157e+016
2.167930e+000 2.509656e+016
2.177920e+000 2.513162e+016
2.187910e+000 2.516675e+016
2.197900e+000 2.520195e+016
2.207890e+000 2.523722e+016
2.217880e+000 2.527256e+016
2.227870e+000 2.530797e+016
2.237860e+000 2.534345e+016
2.247850e+000 2.537900e+016
2.257840e+000 2.541463e+016
2.267830e+000 2.545032e+016
2.277820e+000 2.548609e+016
2.287810e+000 2.552193e+016
2.297800e+000 2.555784e+016
2.307790e+000 2.559382e+016
2.317780e+000 2.562988e+016
2.327770e+000 2.566600e+016
2.337760e+000 2.570220e+016
2.347750e+000 2.573848e+016
2.357740e+000 2.577482e+016
2.367730e+000 2.581124e+016
2.377720e+000 2.584774e+016
2.387710e+000 2.588430e+016
2.397700e+000 2.592095e+016
2.407690e+000 2.595766e+016
2.417680e+000 2.599445e+016
2.427670e+000 2.603131e+016
2.437660e+000 2.606825e+016
2.447650e+000 2.610526e+016
2.457640e+000 2.614235e+016
2.467630e+000 2.617951e+016
2.477620e+000 2.621675e+016
2.487610e+000 2.625406e+016
2.497600e+000 2.629145e+016
2.507590e+000 2.632892e+016
2.517580e+000 2.636646e+016
2.527570e+000 2.640408e+016
2.537560e+000 2.644177e+016
2.547550e+000 2.647954e+016
2.557540e+000 2.651739e+016
2.567530e+000 2.655531e+016
2.577520e+000 2.659332e+016
2.587510e+000 2.663139e+016
2.597500e+000 2.666955e+016
2.607490e+000 2.670779e+016
2.617480e+000 2.674610e+016
2.627470e+000 2.678449e+016
2.637460e+000 2.682296e+016
2.647450e+000 2.686151e+016
2.657440e+000 2.690013e+016
2.667430e+000 2.693884e+016
2.677420e+000 2.697762e+016
2.687410e+000 2.701649e+016
2.697400e+000 2.705543e+016
2.707390e+000 2.709446e+016
2.717380e+000 2.713356e+016
2.727370e+000 2.717274e+016
2.737360e+000 2.721201e+016
2.747350e+000 2.725135e+016
2.757340e+000 2.729078e+016
2.767330e+000 2.733028e+016
2.777320e+000 2.736987e+016
2.787310e+000 2.740954e+016
2.797300e+000 2.744929e+016
2.807290e+000 2.748913e+016
2.817280e+000 2.752904e+016
2.827270e+000 2.756904e+016
2.837260e+000 2.760912e+016
2.847250e+000 2.764928e+016
2.857240e+000 2.768953e+016
2.867230e+000 2.772985e+016
2.877220e+000 2.777027e+016
2.887210e+000 2.781076e+016
2.897200e+000 2.785134e+016
2.907190e+000 2.789200e+016
2.917180e+000 2.793275e+016
2.927170e+000 2.797358e+016
2.937160e+000 2.801450e+016
2.947150e+000 2.805550e+016
2.957140e+000 2.809658e+016
2.967130e+000 2.813775e+016
2.977120e+000 2.817901e+016
2.987110e+000 2.822035e+016
2.997100e+000 2.826178e+016
3.007090e+000 2.830330e+016
3.017080e+000 2.834490e+016
3.027070e+000 2.838658e+016
3.037060e+000 2.842836e+016
3.047050e+000 2.847022e+016
3.057040e+000 2.851217e+016
3.067030e+000 2.855420e+016
3.077020e+000 2.859633e+016
3.087010e+000 2.863854e+016
3.097000e+000 2.868084e+016
3.106990e+000 2.872322e+016
3.116980e+000 2.876570e+016
3.126970e+000 2.880826e+016
3.136960e+000 2.885092e+016
3.146950e+000 2.889366e+016
3.156940e+000 2.893649e+016
3.166930e+000 2.897942e+016
3.176920e+000 2.902243e+016
3.186910e+000 2.906553e+016
3.196900e+000 2.910872e+016
3.206890e+000 2.915201e+016
3.216880e+000 2.919538e+016
3.226870e+000 2.923885e+016
3.236860e+000 2.928240e+016
3.246850e+000 2.932605e+016
3.256840e+000 2.936979e+016
3.266830e+000 2.941362e+016
3.276820e+000 2.945755e+016
3.286810e+000 2.950157e+016
3.296800e+000 2.954567e+016
3.306790e+000 2.958988e+016
3.316780e+000 2.963417e+016
3.326770e+000 2.967856e+016
3.336760e+000 2.972304e+016
3.346750e+000 2.976762e+016
3.356740e+000 2.981229e+016
3.366730e+000 2.985706e+016
3.376720e+000 2.990192e+016
3.386710e+000 2.994687e+016
3.396700e+000 2.999192e+016
3.406690e+000 3.003707e+016
3.416680e+000 3.008231e+016
3.426670e+000 3.012765e+016
3.436660e+000 3.017308e+016
3.446650e+000 3.021861e+016
3.456640e+000 3.026424e+016
3.466630e+000 3.030996e+016
3.476620e+000 3.035578e+016
3.486610e+000 3.040170e+016
3.496600e+000 3.044771e+016
3.506590e+000 3.049382e+016
3.516580e+000 3.054003e+016
3.526570e+000 3.058634e+016
3.536560e+000 3.063275e+016
3.546550e+000 3.067926e+016
3.556540e+000 3.072586e+016
3.566530e+000 3.077257e+016
3.576520e+000 3.081938e+016
3.586510e+000 3.086628e+016
3.596500e+000 3.091329e+016
3.606490e+000 3.096039e+016
3.616480e+000 3.100760e+016
